model,model_name,repeat,execution_time_ms,peak_memory_mb,static_memory_kb,time_per_step_ms
legacy_hh,Legacy HH,0,14.777158861619712,205.0,1953.6796875,0.0002478092762901264
legacy_hh,Legacy HH,1,13.802081580245039,205.828125,1953.6796875,0.0002309363340648424
legacy_hh,Legacy HH,2,15.330835901601201,207.96875,1953.6796875,0.00025662721077160806
legacy_hh,Legacy HH,3,14.539156408813222,211.625,1953.6796875,0.0002433986060879175
legacy_hh,Legacy HH,4,14.525392437469952,208.0,1953.6796875,0.00024269585065544202
legacy_hh,Legacy HH,5,14.538868887057962,196.203125,1953.6796875,0.00024547962500185544
legacy_hh,Legacy HH,6,13.75894257766348,204.46875,1953.6796875,0.00023018589571126196
legacy_hh,Legacy HH,7,14.995124032516227,198.046875,1953.6796875,0.00025156260336567403
legacy_hh,Legacy HH,8,14.448479702205338,201.859375,1953.6796875,0.00024240975312881226
legacy_hh,Legacy HH,9,14.346508077262605,204.625,1953.6796875,0.00023933250175607425
legacy_hh,Legacy HH,10,14.750508305653822,206.6875,1953.6796875,0.0002465593025725892
legacy_hh,Legacy HH,11,14.805478601529279,197.265625,1953.6796875,0.0002478563915574087
legacy_hh,Legacy HH,12,14.18616788652497,209.140625,1953.6796875,0.00023781289247276497
legacy_hh,Legacy HH,13,13.348591677491283,214.546875,1953.6796875,0.00022334169357123205
legacy_hh,Legacy HH,14,13.38907950696224,216.59375,1953.6796875,0.0002235556990623817
legacy_hh,Legacy HH,15,13.522290612304072,215.984375,1953.6796875,0.00022592735673353082
legacy_hh,Legacy HH,16,15.463456404262153,216.125,1953.6796875,0.00025879678368188376
legacy_hh,Legacy HH,17,14.581373549274057,218.78125,1953.6796875,0.00024465482399750415
legacy_hh,Legacy HH,18,15.30470221976431,218.78125,1953.6796875,0.0002561583287140759
legacy_hh,Legacy HH,19,15.243834535554614,214.09375,1953.6796875,0.0002552705181354074
legacy_hh,Legacy HH,20,15.512264663693825,200.5625,1953.6796875,0.00025897389167455935
legacy_hh,Legacy HH,21,15.529992601615515,200.75,1953.6796875,0.0002594785359229202
legacy_hh,Legacy HH,22,16.02298269397477,208.65625,1953.6796875,0.00026776287581108446
legacy_hh,Legacy HH,23,14.998896399536493,213.0,1953.6796875,0.0002513190798757451
legacy_hh,Legacy HH,24,15.49420535419736,216.03125,1953.6796875,0.00025856688388369915
legacy_hh,Legacy HH,25,15.50226044065682,200.734375,1953.6796875,0.0002594251764635884
legacy_hh,Legacy HH,26,15.881942608162033,210.171875,1953.6796875,0.00026568015393567846
legacy_hh,Legacy HH,27,15.859367867991498,214.140625,1953.6796875,0.00026485875885426326
legacy_hh,Legacy HH,28,14.388695017059964,210.1875,1953.6796875,0.0002408657347311278
legacy_hh,Legacy HH,29,16.35012966719105,211.34375,1953.6796875,0.000272985290979723
legacy_markov,Anticonvulsant Legacy Markov,0,472.1959676367738,330.21875,3467.6328125,0.00804420869747967
legacy_markov,Anticonvulsant Legacy Markov,1,440.44616457812253,290.765625,3467.6328125,0.007438320551575082
legacy_markov,Anticonvulsant Legacy Markov,2,518.8729014134439,285.796875,3467.6328125,0.009162362979622191
legacy_markov,Anticonvulsant Legacy Markov,3,402.59068967787255,348.734375,3467.6328125,0.00679510292263736
legacy_markov,Anticonvulsant Legacy Markov,4,412.6062095276774,324.625,3467.6328125,0.006940053326258215
legacy_markov,Anticonvulsant Legacy Markov,5,444.7220225089064,267.328125,3467.6328125,0.007601187245147302
legacy_markov,Anticonvulsant Legacy Markov,6,472.6993956163241,227.28125,3467.6328125,0.008062026783319713
legacy_markov,Anticonvulsant Legacy Markov,7,440.1130273962329,234.953125,3467.6328125,0.007445132965101042
legacy_markov,Anticonvulsant Legacy Markov,8,484.7290306350004,264.0,3467.6328125,0.008654480266202979
legacy_markov,Anticonvulsant Legacy Markov,9,439.7649003298877,285.078125,3467.6328125,0.007451142716121735
