model_name,repeat,execution_time_ms,peak_memory_mb,static_memory_kb,time_per_step_ms
Legacy Markov,0,98.54421015,204.421875,2920.265625,0.001650457
Legacy Markov,1,99.4310604,195.140625,2920.265625,0.001667532
Legacy Markov,2,99.26570395,198.765625,2920.265625,0.001662565
Legacy Markov,3,98.94414166,203.1875,2920.265625,0.001659055
Legacy Markov,4,99.12905007,227.421875,2920.265625,0.001661153
Legacy Markov,5,98.57708337,206.375,2920.265625,0.001651862
Legacy Markov,6,98.95853401,188.546875,2920.265625,0.001658602
Legacy Markov,7,98.92585488,208.734375,2920.265625,0.001657661
Legacy Markov,8,98.7579508,217.609375,2920.265625,0.001654637
Legacy Markov,9,98.86266844,208.546875,2920.265625,0.001655373
Legacy Markov,10,99.14472633,178.609375,2920.265625,0.001663063
Legacy Markov,11,109.0308287,175.53125,2920.265625,0.001871157
Legacy Markov,12,99.15423179,185.515625,2920.265625,0.001659521
Legacy Markov,13,100.3511964,188.078125,2920.265625,0.001682881
Legacy Markov,14,99.98924232,182.109375,2920.265625,0.001676196
Legacy Markov,15,100.4074904,186.703125,2920.265625,0.001683377
Legacy Markov,16,101.6172797,172.03125,2920.265625,0.001699708
Legacy Markov,17,101.6203298,157.75,2920.265625,0.001703912
Legacy Markov,18,99.88920274,171.703125,2920.265625,0.001673315
Legacy Markov,19,98.84019702,209.453125,2920.265625,0.001657122
Legacy Markov,20,109.8991097,150.609375,2920.265625,0.001870782
Legacy Markov,21,98.43663661,191.234375,2920.265625,0.001649909
Legacy Markov,22,106.3380306,197.578125,2920.265625,0.001795792
Legacy Markov,23,99.45651564,166.875,2920.265625,0.001665402
Legacy Markov,24,106.7064511,171.96875,2920.265625,0.001824028
Legacy Markov,25,98.46763904,181.53125,2920.265625,0.001651278
Legacy Markov,26,103.5887445,178,2920.265625,0.001735947
Legacy Markov,27,103.8788118,175.984375,2920.265625,0.001746837
Legacy Markov,28,97.70436757,207.828125,2920.265625,0.001637132
Legacy Markov,29,98.7617835,183.03125,2920.265625,0.001656706
CTBN Markov,0,41.77162319,171.75,2926.4375,0.000718341
CTBN Markov,1,35.70646228,192.21875,2926.4375,0.000596592
CTBN Markov,2,35.86209324,182.609375,2926.4375,0.000601912
CTBN Markov,3,35.72463985,181.703125,2926.4375,0.000597
CTBN Markov,4,35.64494503,199.8125,2926.4375,0.000596697
CTBN Markov,5,35.39419676,191.828125,2926.4375,0.000593253
CTBN Markov,6,35.39415953,181.5625,2926.4375,0.000592904
CTBN Markov,7,35.2167025,192.359375,2926.4375,0.0005893
CTBN Markov,8,36.06960913,183.109375,2926.4375,0.000602116
CTBN Markov,9,38.70527245,171.15625,2926.4375,0.000669064
CTBN Markov,10,35.97873429,182.890625,2926.4375,0.000601124
CTBN Markov,11,37.89810381,188.3125,2926.4375,0.000644975
CTBN Markov,12,35.38033733,191.46875,2926.4375,0.000593017
CTBN Markov,13,34.52413326,186.546875,2926.4375,0.000578041
CTBN Markov,14,35.50327964,200.453125,2926.4375,0.000593258
CTBN Markov,15,39.07617606,156.84375,2926.4375,0.000667332
CTBN Markov,16,36.69261631,189.53125,2926.4375,0.000616765
CTBN Markov,17,36.14160098,173.015625,2926.4375,0.000606017
CTBN Markov,18,35.06290336,193.40625,2926.4375,0.000586609
CTBN Markov,19,35.90623287,202.25,2926.4375,0.000601016
CTBN Markov,20,35.33034471,193.4375,2926.4375,0.000592596
CTBN Markov,21,35.53775292,172.375,2926.4375,0.000597476
CTBN Markov,22,34.8589471,180.546875,2926.4375,0.000583547
CTBN Markov,23,35.16164683,207.015625,2926.4375,0.000587778
CTBN Markov,24,36.28685751,202.03125,2926.4375,0.000606591
CTBN Markov,25,37.35068086,189.390625,2926.4375,0.000628932
CTBN Markov,26,36.1511188,199.0625,2926.4375,0.000604724
CTBN Markov,27,35.10853886,222.609375,2926.4375,0.00058788
CTBN Markov,28,36.02197129,194.96875,2926.4375,0.00060229
CTBN Markov,29,35.10561574,187.703125,2926.4375,0.000586825
Anticonvulsant Legacy Markov,0,358.7457667,219.71875,3467.625,0.006001986
Anticonvulsant Legacy Markov,1,564.8270489,178.5,3467.625,0.009604099
Anticonvulsant Legacy Markov,2,522.2560624,182.21875,3467.625,0.009504668
Anticonvulsant Legacy Markov,3,412.5545497,202.65625,3467.625,0.007070576
Anticonvulsant Legacy Markov,4,361.1095357,230.03125,3467.625,0.006041393
Anticonvulsant Legacy Markov,5,442.7851654,239.546875,3467.625,0.007756089
Anticonvulsant Legacy Markov,6,428.8698864,249.265625,3467.625,0.00738696
Anticonvulsant Legacy Markov,7,361.1207605,270.09375,3467.625,0.006034149
Anticonvulsant Legacy Markov,8,435.4779037,173.40625,3467.625,0.007510677
Anticonvulsant Legacy Markov,9,514.6416754,201.546875,3467.625,0.008926204
Anticonvulsant Legacy Markov,10,357.7117572,207.234375,3467.625,0.005979856
Anticonvulsant Legacy Markov,11,531.1924371,175.5625,3467.625,0.009846573
Anticonvulsant Legacy Markov,12,826.8986097,192.078125,3467.625,0.016069541
Anticonvulsant Legacy Markov,13,479.4178006,245.015625,3467.625,0.008372856
Anticonvulsant Legacy Markov,14,358.5104863,191.8125,3467.625,0.005994871
Anticonvulsant Legacy Markov,15,574.0297098,192.6875,3467.625,0.010360222
Anticonvulsant Legacy Markov,16,796.2574585,183.09375,3467.625,0.015042443
Anticonvulsant Legacy Markov,17,530.9485043,189.34375,3467.625,0.009068167
Anticonvulsant Legacy Markov,18,384.800269,206.859375,3467.625,0.006443498
Anticonvulsant Legacy Markov,19,447.0545339,182.640625,3467.625,0.007513824
Anticonvulsant Legacy Markov,20,436.7926875,181.640625,3467.625,0.007420261
Anticonvulsant Legacy Markov,21,355.3236639,247.359375,3467.625,0.005941333
Anticonvulsant Legacy Markov,22,358.5105631,216.421875,3467.625,0.005986826
Anticonvulsant Legacy Markov,23,353.8062119,201.78125,3467.625,0.005911626
Anticonvulsant Legacy Markov,24,359.0111252,190.09375,3467.625,0.006001163
Anticonvulsant Legacy Markov,25,475.9801044,196.4375,3467.625,0.008424633
Anticonvulsant Legacy Markov,26,408.6185164,192.484375,3467.625,0.006881263
Anticonvulsant Legacy Markov,27,359.3901749,194.65625,3467.625,0.006009225
Anticonvulsant Legacy Markov,28,403.685818,249.765625,3467.625,0.006828072
Anticonvulsant Legacy Markov,29,358.5447726,223.46875,3467.625,0.005995603
Anticonvulsant CTBN Markov,0,83.95999043,251.6875,3490.132813,0.001404141
Anticonvulsant CTBN Markov,1,106.6587637,262.453125,3490.132813,0.001780046
Anticonvulsant CTBN Markov,2,78.32020187,246.21875,3490.132813,0.00130771
Anticonvulsant CTBN Markov,3,80.02223867,261.15625,3490.132813,0.001334641
Anticonvulsant CTBN Markov,4,78.2644986,276,3490.132813,0.001308099
Anticonvulsant CTBN Markov,5,79.10548957,249.421875,3490.132813,0.001320251
Anticonvulsant CTBN Markov,6,79.90064266,254.171875,3490.132813,0.00133306
Anticonvulsant CTBN Markov,7,79.73580454,217.765625,3490.132813,0.001330695
Anticonvulsant CTBN Markov,8,78.9163448,204.859375,3490.132813,0.001317288
Anticonvulsant CTBN Markov,9,79.64622453,249.109375,3490.132813,0.001328993
Anticonvulsant CTBN Markov,10,79.52824142,226.078125,3490.132813,0.001327983
Anticonvulsant CTBN Markov,11,78.70824342,262.859375,3490.132813,0.001313382
Anticonvulsant CTBN Markov,12,80.04142667,227.71875,3490.132813,0.001336026
Anticonvulsant CTBN Markov,13,77.74646876,243.609375,3490.132813,0.001298224
Anticonvulsant CTBN Markov,14,79.64802614,271.234375,3490.132813,0.001329386
Anticonvulsant CTBN Markov,15,79.32251229,231.34375,3490.132813,0.001323685
Anticonvulsant CTBN Markov,16,79.72133158,210.03125,3490.132813,0.001330994
Anticonvulsant CTBN Markov,17,78.65828343,274.75,3490.132813,0.001312286
Anticonvulsant CTBN Markov,18,80.49734755,212.203125,3490.132813,0.001343218
Anticonvulsant CTBN Markov,19,79.93026049,244.625,3490.132813,0.001334314
Anticonvulsant CTBN Markov,20,95.94824003,214.4375,3490.132813,0.001601272
Anticonvulsant CTBN Markov,21,93.90440722,287.625,3490.132813,0.001591113
Anticonvulsant CTBN Markov,22,82.14257962,251.796875,3490.132813,0.001370429
Anticonvulsant CTBN Markov,23,78.91165358,278.3125,3490.132813,0.001317025
Anticonvulsant CTBN Markov,24,79.18303953,279.359375,3490.132813,0.001321444
Anticonvulsant CTBN Markov,25,79.26552314,245.03125,3490.132813,0.001323129
Anticonvulsant CTBN Markov,26,78.69910367,274.734375,3490.132813,0.001313605
Anticonvulsant CTBN Markov,27,79.90242743,255.25,3490.132813,0.001332721
Anticonvulsant CTBN Markov,28,78.61919998,291.296875,3490.132813,0.001312511
Anticonvulsant CTBN Markov,29,78.92093388,287.109375,3490.132813,0.001317739
