model_name,drug_type,concentration,shift_mv
Anti-Conv Markov,CBZ,1.0,-0.1890252772727763
Anti-Conv Markov,CBZ,1.2689610031679222,-0.2386072782837374
Anti-Conv Markov,CBZ,1.6102620275609394,-0.3007886660387697
Anti-Conv Markov,CBZ,2.043359717856942,-0.3785404060257207
Anti-Conv Markov,CBZ,2.592943797404667,-0.4754076017053847
Anti-Conv Markov,CBZ,3.2903445623126686,-0.595553850178149
Anti-Conv Markov,CBZ,4.1753189365604015,-0.7437733068133241
Anti-Conv Markov,CBZ,5.298316906283709,-0.925451589762602
Anti-Conv Markov,CBZ,6.7233575364993365,-1.1464554868564107
Anti-Conv Markov,CBZ,8.531678524172808,-1.4129347511087076
Anti-Conv Markov,CBZ,10.826367338740546,-1.7310300912167236
Anti-Conv Markov,CBZ,13.73823795883263,-2.1065006285120376
Anti-Conv Markov,CBZ,17.43328822199988,-2.544309165801863
Anti-Conv Markov,CBZ,22.122162910704493,-3.048240918831951
Anti-Conv Markov,CBZ,28.072162039411772,-3.620545219307118
Anti-Conv Markov,CBZ,35.62247890262442,-4.261883621826755
Anti-Conv Markov,CBZ,45.20353656360243,-4.971383565142872
Anti-Conv Markov,CBZ,57.36152510448679,-5.746774535741906
Anti-Conv Markov,CBZ,72.7895384398315,-6.58491001579327
Anti-Conv Markov,CBZ,92.3670857187386,-7.482158591374414
Anti-Conv Markov,CBZ,117.21022975334806,-8.434870174013241
Anti-Conv Markov,CBZ,148.73521072935117,-9.439771554555191
Anti-Conv Markov,CBZ,188.73918221350976,-10.494278272572558
Anti-Conv Markov,CBZ,239.5026619987486,-11.596724464882485
Anti-Conv Markov,CBZ,303.9195382313198,-12.746505742605803
Anti-Conv Markov,CBZ,385.6620421163472,-13.944222233125243
Anti-Conv Markov,CBZ,489.3900918477494,-15.191744328909977
Anti-Conv Markov,CBZ,621.0169418915616,-16.49234387718164
Anti-Conv Markov,CBZ,788.0462815669912,-17.850828054582877
Anti-Conv Markov,CBZ,1000.0,-19.273761534241885
Anti-Conv CTBN,CBZ,1.0,-0.1890252759457951
Anti-Conv CTBN,CBZ,1.2689610031679222,-0.2386072764981293
Anti-Conv CTBN,CBZ,1.6102620275609394,-0.3007886664647543
Anti-Conv CTBN,CBZ,2.043359717856942,-0.3785404070224274
Anti-Conv CTBN,CBZ,2.592943797404667,-0.4754075989495021
Anti-Conv CTBN,CBZ,3.2903445623126686,-0.5955538503585416
Anti-Conv CTBN,CBZ,4.1753189365604015,-0.7437733052949937
Anti-Conv CTBN,CBZ,5.298316906283709,-0.9254515903413392
Anti-Conv CTBN,CBZ,6.7233575364993365,-1.1464554880939914
Anti-Conv CTBN,CBZ,8.531678524172808,-1.4129347494104536
Anti-Conv CTBN,CBZ,10.826367338740546,-1.7310300921955672
Anti-Conv CTBN,CBZ,13.73823795883263,-2.10650062923564
Anti-Conv CTBN,CBZ,17.43328822199988,-2.5443091647697713
Anti-Conv CTBN,CBZ,22.122162910704493,-3.048240916019253
Anti-Conv CTBN,CBZ,28.072162039411772,-3.620545218708088
Anti-Conv CTBN,CBZ,35.62247890262442,-4.2618836228026
Anti-Conv CTBN,CBZ,45.20353656360243,-4.9713835646217035
Anti-Conv CTBN,CBZ,57.36152510448679,-5.746774533314834
Anti-Conv CTBN,CBZ,72.7895384398315,-6.584910015787358
Anti-Conv CTBN,CBZ,92.3670857187386,-7.482158592180198
Anti-Conv CTBN,CBZ,117.21022975334806,-8.43487017303923
Anti-Conv CTBN,CBZ,148.73521072935117,-9.439771554436504
Anti-Conv CTBN,CBZ,188.73918221350976,-10.494278272804806
Anti-Conv CTBN,CBZ,239.5026619987486,-11.596724466402634
Anti-Conv CTBN,CBZ,303.9195382313198,-12.746505743427392
Anti-Conv CTBN,CBZ,385.6620421163472,-13.944222233558436
Anti-Conv CTBN,CBZ,489.3900918477494,-15.1917443278289
Anti-Conv CTBN,CBZ,621.0169418915616,-16.492343875576893
Anti-Conv CTBN,CBZ,788.0462815669912,-17.850828051087845
Anti-Conv CTBN,CBZ,1000.0,-19.27376153368114
Anti-Conv Markov,LTG,1.0,-0.5075470554053965
Anti-Conv Markov,LTG,1.2689610031679222,-0.6352885743402084
Anti-Conv Markov,LTG,1.6102620275609394,-0.79260273356509
Anti-Conv Markov,LTG,2.043359717856942,-0.9850292031378274
Anti-Conv Markov,LTG,2.592943797404667,-1.2185411000296114
Anti-Conv Markov,LTG,3.2903445623126686,-1.4993195798905248
Anti-Conv Markov,LTG,4.1753189365604015,-1.8334361449206111
Anti-Conv Markov,LTG,5.298316906283709,-2.2264627869945883
Anti-Conv Markov,LTG,6.7233575364993365,-2.6830558530056834
Anti-Conv Markov,LTG,8.531678524172808,-3.2065926370226805
Anti-Conv Markov,LTG,10.826367338740546,-3.798861645065088
Anti-Conv Markov,LTG,13.73823795883263,-4.460070959395225
Anti-Conv Markov,LTG,17.43328822199988,-5.188884124127526
Anti-Conv Markov,LTG,22.122162910704493,-5.9827673812785775
Anti-Conv Markov,LTG,28.072162039411772,-6.838373220564236
Anti-Conv Markov,LTG,35.62247890262442,-7.7520200359662255
Anti-Conv Markov,LTG,45.20353656360243,-8.720129476998736
Anti-Conv Markov,LTG,57.36152510448679,-9.73959930595207
Anti-Conv Markov,LTG,72.7895384398315,-10.808097168283382
Anti-Conv Markov,LTG,92.3670857187386,-11.924230736518638
Anti-Conv Markov,LTG,117.21022975334806,-13.087750435321697
Anti-Conv Markov,LTG,148.73521072935117,-14.299616016755252
Anti-Conv Markov,LTG,188.73918221350976,-15.562080612700058
Anti-Conv Markov,LTG,239.5026619987486,-16.87884636113705
Anti-Conv Markov,LTG,303.9195382313198,-18.25520203831573
Anti-Conv Markov,LTG,385.6620421163472,-19.69827343538763
Anti-Conv Markov,LTG,489.3900918477494,-21.21737543448826
Anti-Conv Markov,LTG,621.0169418915616,-22.82451844542733
Anti-Conv Markov,LTG,788.0462815669912,-24.535233043014017
Anti-Conv Markov,LTG,1000.0,-26.369623633965332
Anti-Conv CTBN,LTG,1.0,-0.5075470552735766
Anti-Conv CTBN,LTG,1.2689610031679222,-0.6352885747145223
Anti-Conv CTBN,LTG,1.6102620275609394,-0.792602731513611
Anti-Conv CTBN,LTG,2.043359717856942,-0.9850292003050924
Anti-Conv CTBN,LTG,2.592943797404667,-1.2185411000528603
Anti-Conv CTBN,LTG,3.2903445623126686,-1.4993195800146992
Anti-Conv CTBN,LTG,4.1753189365604015,-1.8334361436972415
Anti-Conv CTBN,LTG,5.298316906283709,-2.2264627844778033
Anti-Conv CTBN,LTG,6.7233575364993365,-2.6830558533797415
Anti-Conv CTBN,LTG,8.531678524172808,-3.206592635660897
Anti-Conv CTBN,LTG,10.826367338740546,-3.7988616442976593
Anti-Conv CTBN,LTG,13.73823795883263,-4.460070958665838
Anti-Conv CTBN,LTG,17.43328822199988,-5.1888841220161055
Anti-Conv CTBN,LTG,22.122162910704493,-5.982767380286148
Anti-Conv CTBN,LTG,28.072162039411772,-6.838373219541765
