model,model_name,network_size,repeat,execution_time_ms,memory_usage_mb,total_network_current,actual_simulations,scaling_factor
legacy_hh,Legacy HH,100,0,1346.3952541351318,-63.5,105.92687810461044,100,1.0
legacy_hh,Legacy HH,100,1,1379.8189163208008,9.546875,105.92687810461044,100,1.0
legacy_hh,Legacy HH,100,2,1609.6117496490479,-33.671875,105.92687810461044,100,1.0
legacy_hh,Legacy HH,1000,0,14290.997982025146,0.921875,1059.2687810460836,1000,1.0
legacy_hh,Legacy HH,1000,1,13436.520099639893,-10.34375,1059.2687810460836,1000,1.0
legacy_hh,Legacy HH,1000,2,15154.192209243774,-12.25,1059.2687810460836,1000,1.0
legacy_hh,Legacy HH,10000,0,126971.95315361023,12.34375,10592.687810460837,1000,10.0
legacy_hh,Legacy HH,10000,1,120419.81220245361,173.90625,10592.687810460837,1000,10.0
legacy_hh,Legacy HH,10000,2,124262.216091156,14.21875,10592.687810460837,1000,10.0
legacy_markov,Legacy Markov,100,0,10211.792707443237,135.171875,132.85307939820575,100,1.0
legacy_markov,Legacy Markov,100,1,11745.187997817993,-123.0625,132.85307939820575,100,1.0
legacy_markov,Legacy Markov,100,2,12730.226993560791,13.25,132.85307939820575,100,1.0
legacy_markov,Legacy Markov,1000,0,110081.15577697754,28.796875,1317.2412459324514,1000,1.0
legacy_markov,Legacy Markov,1000,1,106730.77607154846,47.796875,1317.2412459324514,1000,1.0
legacy_markov,Legacy Markov,1000,2,107434.78894233704,-105.375,1317.2412459324514,1000,1.0
legacy_markov,Legacy Markov,10000,0,962406.0709476471,1375.3125,13172.412459324514,1000,10.0
legacy_markov,Legacy Markov,10000,1,936359.5597743988,-729.53125,13172.412459324514,1000,10.0
legacy_markov,Legacy Markov,10000,2,964065.7618045807,-921.71875,13172.412459324514,1000,10.0
ctbn_stiff,CTBN Markov,100,0,5000.420093536377,305.5,136.19649136647922,100,1.0
ctbn_stiff,CTBN Markov,100,1,4138.806104660034,-29.71875,136.19649136647922,100,1.0
ctbn_stiff,CTBN Markov,100,2,4830.502986907959,-29.578125,136.19649136647922,100,1.0
ctbn_stiff,CTBN Markov,1000,0,42448.50277900696,100.953125,1346.4299110888326,1000,1.0
ctbn_stiff,CTBN Markov,1000,1,42820.23596763611,69.390625,1346.4299110888326,1000,1.0
ctbn_stiff,CTBN Markov,1000,2,42869.844913482666,-50.15625,1346.4299110888326,1000,1.0
ctbn_stiff,CTBN Markov,10000,0,396243.43085289,-1461.5625,13464.299110888325,1000,10.0
ctbn_stiff,CTBN Markov,10000,1,399306.06722831726,-1256.25,13464.299110888325,1000,10.0
ctbn_stiff,CTBN Markov,10000,2,392824.29671287537,3116.5625,13464.299110888325,1000,10.0
