model_name,n_processes,repeat,execution_time_ms,total_parallel_time_ms,baseline_time_ms,speedup_factor,parallel_efficiency,scaling_type
Legacy Markov,1,0,963.9260769,963.9260769,122.7171421,0.127309703,0.127309703,task_parallel
Legacy Markov,1,1,878.6461353,878.6461353,122.7171421,0.139666172,0.139666172,task_parallel
Legacy Markov,1,2,874.6039867,874.6039867,122.7171421,0.140311666,0.140311666,task_parallel
Legacy Markov,1,3,887.034893,887.034893,122.7171421,0.138345338,0.138345338,task_parallel
Legacy Markov,1,4,891.3249969,891.3249969,122.7171421,0.137679458,0.137679458,task_parallel
Legacy Markov,2,0,461.7290497,923.4580994,122.7171421,0.265777391,0.132888695,task_parallel
Legacy Markov,2,1,466.1636353,932.3272705,122.7171421,0.263249067,0.131624534,task_parallel
Legacy Markov,2,2,480.5480242,961.0960484,122.7171421,0.255369153,0.127684577,task_parallel
Legacy Markov,2,3,464.1553164,928.3106327,122.7171421,0.2643881,0.13219405,task_parallel
Legacy Markov,2,4,453.853488,907.7069759,122.7171421,0.270389333,0.135194667,task_parallel
Legacy Markov,3,0,313.7900829,941.3702488,122.7171421,0.391080371,0.130360124,task_parallel
Legacy Markov,3,1,388.6450132,1165.93504,122.7171421,0.315756379,0.105252126,task_parallel
Legacy Markov,3,2,328.9593061,986.8779182,122.7171421,0.373046574,0.124348858,task_parallel
Legacy Markov,3,3,320.6863403,962.059021,122.7171421,0.382670313,0.127556771,task_parallel
Legacy Markov,3,4,311.1556371,933.4669113,122.7171421,0.394391512,0.131463837,task_parallel
Legacy Markov,4,0,258.2279444,1032.911777,122.7171421,0.475227971,0.118806993,task_parallel
Legacy Markov,4,1,234.436512,937.746048,122.7171421,0.523455758,0.13086394,task_parallel
Legacy Markov,4,2,238.6437058,954.5748234,122.7171421,0.514227441,0.12855686,task_parallel
Legacy Markov,4,3,249.0667701,996.2670803,122.7171421,0.492707807,0.123176952,task_parallel
Legacy Markov,4,4,259.1462135,1036.584854,122.7171421,0.473544029,0.118386007,task_parallel
Legacy Markov,5,0,201.82724,1009.1362,122.7171421,0.608030621,0.121606124,task_parallel
Legacy Markov,5,1,211.7303848,1058.651924,122.7171421,0.579591551,0.11591831,task_parallel
Legacy Markov,5,2,204.5583725,1022.791862,122.7171421,0.599912585,0.119982517,task_parallel
Legacy Markov,5,3,194.8730469,974.3652344,122.7171421,0.629728657,0.125945731,task_parallel
Legacy Markov,5,4,192.9030418,964.5152092,122.7171421,0.636159705,0.127231941,task_parallel
Legacy Markov,6,0,171.8715429,1031.229258,122.7171421,0.714005006,0.119000834,task_parallel
Legacy Markov,6,1,215.397795,1292.38677,122.7171421,0.569723298,0.094953883,task_parallel
Legacy Markov,6,2,170.0651248,1020.390749,122.7171421,0.72158911,0.120264852,task_parallel
Legacy Markov,6,3,168.6751445,1012.050867,122.7171421,0.72753542,0.121255903,task_parallel
Legacy Markov,6,4,170.4844634,1022.90678,122.7171421,0.719814226,0.119969038,task_parallel
Legacy Markov,7,0,179.3231283,1255.261898,122.7171421,0.684335274,0.097762182,task_parallel
Legacy Markov,7,1,149.4169916,1045.918941,122.7171421,0.821306471,0.117329496,task_parallel
Legacy Markov,7,2,166.3059848,1164.141893,122.7171421,0.737899735,0.105414248,task_parallel
Legacy Markov,7,3,152.7855737,1069.499016,122.7171421,0.80319849,0.114742641,task_parallel
Legacy Markov,7,4,149.4618484,1046.232939,122.7171421,0.821059979,0.117294283,task_parallel
Legacy Markov,8,0,144.2173719,1153.738976,122.7171421,0.850917892,0.106364736,task_parallel
Legacy Markov,8,1,134.4743669,1075.794935,122.7171421,0.912569027,0.114071128,task_parallel
Legacy Markov,8,2,129.3621361,1034.897089,122.7171421,0.94863262,0.118579077,task_parallel
Legacy Markov,8,3,137.450099,1099.600792,122.7171421,0.892812322,0.11160154,task_parallel
Legacy Markov,8,4,143.202275,1145.6182,122.7171421,0.856949668,0.107118709,task_parallel
Legacy Markov,9,0,157.9068767,1421.16189,122.7171421,0.777148815,0.086349868,task_parallel
Legacy Markov,9,1,161.5175406,1453.657866,122.7171421,0.759775945,0.084419549,task_parallel
Legacy Markov,9,2,133.9755588,1205.780029,122.7171421,0.915966637,0.101774071,task_parallel
Legacy Markov,9,3,139.8425632,1258.583069,122.7171421,0.877537849,0.097504205,task_parallel
Legacy Markov,9,4,174.4337612,1569.903851,122.7171421,0.703517148,0.078168572,task_parallel
Legacy Markov,10,0,187.8352165,1878.352165,122.7171421,0.653323399,0.06533234,task_parallel
Legacy Markov,10,1,161.6572857,1616.572857,122.7171421,0.759119155,0.075911915,task_parallel
Legacy Markov,10,2,162.6167059,1626.167059,122.7171421,0.754640438,0.075464044,task_parallel
Legacy Markov,10,3,177.0727873,1770.727873,122.7171421,0.693032193,0.069303219,task_parallel
Legacy Markov,10,4,133.7495804,1337.495804,122.7171421,0.917514221,0.091751422,task_parallel
Legacy Markov,11,0,131.0758374,1441.834211,122.7171421,0.936230083,0.085111826,task_parallel
Legacy Markov,11,1,122.9522011,1352.474213,122.7171421,0.998088208,0.090735292,task_parallel
Legacy Markov,11,2,159.1898311,1751.088142,122.7171421,0.77088556,0.070080505,task_parallel
Legacy Markov,11,3,371.3232821,4084.556103,122.7171421,0.330485989,0.030044181,task_parallel
Legacy Markov,11,4,946.6734366,10413.4078,122.7171421,0.129629857,0.011784532,task_parallel
Legacy Markov,12,0,301.3880849,3616.657019,122.7171421,0.407173171,0.033931098,task_parallel
Legacy Markov,12,1,252.6810169,3032.172203,122.7171421,0.485660314,0.040471693,task_parallel
Legacy Markov,12,2,256.2417388,3074.900866,122.7171421,0.478911604,0.0399093,task_parallel
Legacy Markov,12,3,227.003932,2724.047184,122.7171421,0.540594786,0.045049566,task_parallel
