model_name,scaling_factor,repeat,execution_time_ms,peak_memory_mb,weak_scaling_efficiency,scaling_type
Legacy Markov,1,0,143.9070702,118.8125,0.776286883,weak
Legacy Markov,1,1,163.9912128,118.140625,0.681214372,weak
Legacy Markov,1,2,108.8869572,152.359375,1.025955485,weak
Legacy Markov,1,3,108.8519096,155.125,1.026285817,weak
Legacy Markov,1,4,108.1528664,164.140625,1.032919189,weak
Legacy Markov,2,0,110.8388901,171.28125,1.007887854,weak
Legacy Markov,2,1,111.6361618,159.328125,1.000689823,weak
Legacy Markov,2,2,111.8032932,157.09375,0.999193922,weak
Legacy Markov,2,3,112.0488644,160.421875,0.997004045,weak
Legacy Markov,2,4,117.3057556,155.03125,0.952324721,weak
Legacy Markov,3,0,112.9002571,167.640625,0.989485532,weak
Legacy Markov,3,1,113.0359173,169.34375,0.988298,weak
Legacy Markov,3,2,110.252142,160.796875,1.013251707,weak
Legacy Markov,3,3,112.6561165,124.328125,0.991629878,weak
Legacy Markov,3,4,123.1267452,133.609375,0.907302234,weak
Legacy Markov,4,0,112.2219563,139.0625,0.995466259,weak
Legacy Markov,4,1,125.5280972,141.53125,0.889945546,weak
Legacy Markov,4,2,144.053936,128.578125,0.775495444,weak
Legacy Markov,4,3,175.112009,129.296875,0.637952654,weak
Legacy Markov,4,4,117.9890633,144.90625,0.946809542,weak
CTBN Markov,1,0,41.15009308,159.640625,1.296154024,weak
CTBN Markov,1,1,38.7430191,156.6875,1.376683077,weak
CTBN Markov,1,2,38.27786446,164.546875,1.393412603,weak
CTBN Markov,1,3,40.87018967,174.875,1.30503086,weak
CTBN Markov,1,4,38.78188133,184.265625,1.375303542,weak
CTBN Markov,2,0,39.96181488,187.984375,1.334695607,weak
CTBN Markov,2,1,40.08507729,175.296875,1.330591391,weak
CTBN Markov,2,2,40.21191597,192.609375,1.326394365,weak
CTBN Markov,2,3,39.32523727,188.375,1.356301003,weak
CTBN Markov,2,4,44.53706741,141.765625,1.197583538,weak
CTBN Markov,3,0,45.88222504,149.75,1.162473239,weak
CTBN Markov,3,1,39.56699371,172.78125,1.348013931,weak
